GenesSet	SDY	Rsq
L	SDY67_PBMC_HealthyAdults	0.50062766
L	SDY739_old	0.606297872
L	SDY739_young	0.62537234
L	SDY80_PBMC_Cohort2	0.405882979
M	GSE107990	0.50112766
M	SDY1119_PBMC_oldHealthy	0.506914894
M	SDY1119_PBMC_youngHealthy	0.453553191
M	SDY1119_PBMC_youngT2D	0.539675532
M	SDY112_Other_GroupA	0.461468085
M	SDY112_Other_GroupB	0.496904255
M	SDY112_Other_GroupC	0.50387234
M	SDY113_Other_IDTIV	0.483281915
M	SDY113_Other_TIV	0.197382979
M	SDY1276_WholeBlood_Discovery	0.437925532
M	SDY1276_WholeBlood_Validation	0.413670213
M	SDY144_Other_TIV	0.303659574
M	SDY212_PBMC_Older	0.531191489
M	SDY212_PBMC_Young	0.432957447
M	SDY212_WholeBlood_Older	0.405882979
M	SDY212_WholeBlood_Young	0.383255319
M	SDY269_PBMC_TIV	0.59012766
M	SDY270_PBMC_TIVGroup	0.463170213
M	SDY296_WholeBlood_AIRFV	0.588893617
M	SDY301_Other_AIRFV	0.57243617
M	SDY305_Other_TIV	0.566457447
M	SDY311_GroupA	0.395287234
M	SDY311_GroupB	0.566787234
M	SDY311_GroupC	0.558904255
M	SDY312_Other_GroupA	0.52412766
M	SDY312_Other_GroupB	0.505010638
M	SDY312_Other_GroupC	0.481218085
M	SDY315_Other_GroupA	0.309787234
M	SDY315_Other_GroupB	0.479154255
M	SDY315_Other_GroupC	0.486021277
M	SDY364_WholeBlood_NCH2012	0.502585106
M	SDY368_WholeBlood_NCH2013	0.266595745
M	SDY372_WholeBlood_JDM2012	0.504255319
M	SDY387_WholeBlood_NCH2010	0.45637234
M	SDY400_PBMC_Older	0.549159574
M	SDY400_PBMC_Young	0.464196809
M	SDY404_PBMC_Older	0.62606383
M	SDY404_PBMC_Young	0.463734043
M	SDY520_WholeBlood_Older	0.491989362
M	SDY520_WholeBlood_Young	0.396744681
M	SDY56_PBMC_Older	0.392053191
